question,contexts,answer,ground_truth,domain,difficulty
"What is selection bias?","Bias introduced when the sample data is not truly randomized and representative of the population.","It occurs when a sample is not representative of the population due to poor randomization.","Poor randomization."",""Sample not representative.","experimental_design","undergraduate"
"What is blocking in experimental design?","Arranging experimental units into homogenous groups prior to treatment to control for nuisance variables.","Grouping similar experimental units before applying treatments to control for outside variables.","Grouping units."",""Done before treatment."",""Controls nuisance variables.","experimental_design","graduate"
"What is a Latin Square design?","An experimental design used to control for two independent sources of nuisance variation.","A design that controls for two separate nuisance variables.","Experimental design."",""Controls two nuisance variables.","experimental_design","graduate"
"Define a confounding variable.","An unmeasured third variable that influences both the supposed cause and effect.","An outside variable that affects both the independent and dependent variables.","Unmeasured variable."",""Influences cause."",""Influences effect.","experimental_design","undergraduate"
"What is the power of a statistical test?","The probability of correctly rejecting a false null hypothesis, calculated as 1 minus Type II error.","The probability of correctly rejecting a false null hypothesis.","Probability of rejecting null."",""Null hypothesis must be false."",""Equals 1 minus Type II error.","hypothesis_testing","undergraduate"
"How do you adjust sample size for an expected attrition rate?","Divide the target sample size by (1 - attrition rate).","Divide the needed sample size by 1 minus the expected attrition rate.","Target sample size divided."",""Divisor is 1 minus attrition rate.","experimental_design","graduate"
"What is convenience sampling?","Gathering data from subjects that are easiest to reach, leading to severe selection bias.","Sampling the easiest-to-reach subjects, which causes selection bias.","Samples easy-to-reach subjects."",""Causes selection bias.","experimental_design","undergraduate"
"What is a p-value?","The probability of observing data as extreme as what was actually observed, assuming the null hypothesis is true.","The probability of getting your results if the null hypothesis is true.","Probability of observed data."",""Assumes null hypothesis is true.","hypothesis_testing","undergraduate"
"If 0 is in the 95% confidence interval for a mean difference, what is the p-value?","The p-value for the two-tailed test will be greater than 0.05.","The p-value will be greater than 0.05.","Two-tailed test."",""p-value greater than 0.05.","hypothesis_testing","undergraduate"
"Can I accept the null hypothesis if my p-value is 0.40?","No, you fail to reject it. Lack of evidence is not proof of no effect.","No, you fail to reject the null hypothesis.","Cannot accept null."",""Fail to reject null.","hypothesis_testing","undergraduate"
"What is a one-tailed test?","A test that checks for an effect in a single specific direction.","It checks for a statistical effect in only one direction.","Checks for an effect."",""Single direction only.","hypothesis_testing","undergraduate"
"When would I use a paired t-test?","When the data points are dependent or matched, such as before-and-after measurements.","When data points are matched or dependent.","Data is dependent."",""Data is matched.","hypothesis_testing","undergraduate"
"What is Welch's t-test?","An adaptation of the t-test for when two samples have unequal variances and sizes.","A t-test used when variances and sample sizes are unequal.","Adaptation of t-test."",""Used for unequal variances."",""Used for unequal sizes.","hypothesis_testing","undergraduate"
"What is a critical value?","The threshold point on the test statistic distribution that separates the rejection region.","The threshold that defines the rejection region for a test statistic.","Threshold point."",""Separates rejection region.","hypothesis_testing","undergraduate"
"For heavily skewed data, should I use mean or median?","Use the median, as it is robust to outliers and heavy skew.","Use the median because it resists outliers.","Use median."",""Median is robust to skew/outliers.","descriptive_statistics","undergraduate"
"What is p-hacking?","Misusing data analysis to exhaustively test until non-significant results become significant.","Manipulating data analysis to artificially find statistically significant results.","Misuse of data analysis."",""Goal is artificial significance.","ethics","graduate"
"What are degrees of freedom?","The number of independent values or quantities which can freely vary in a calculation.","The number of independent values that can vary in a statistical calculation.","Independent values."",""Allowed to vary.","hypothesis_testing","undergraduate"
"What is the null hypothesis for a one-way ANOVA?","The null hypothesis is that all group population means are exactly equal.","That all group means are equal.","All group means."",""Are exactly equal.","anova","undergraduate"
"If ANOVA is significant, how do I find which groups differ?","Run a post-hoc test, such as Tukey's HSD, to perform pairwise comparisons.","Use a post-hoc test like Tukey's HSD.","Run a post-hoc test."",""Example is Tukey's HSD.","anova","undergraduate"
"What does the F-statistic in ANOVA represent?","The ratio of the variance between the group means to the variance within the groups.","The ratio of between-group variance to within-group variance.","Ratio of variances."",""Variance between groups over variance within groups.","anova","undergraduate"
"What are the core assumptions of ANOVA?","Independence of observations, normality of residuals, and homogeneity of variances.","Independence, normal residuals, and equal variances.","Independent observations."",""Normal residuals."",""Homogeneity of variances.","anova","undergraduate"
"How does ANCOVA differ from ANOVA?","ANCOVA includes at least one continuous covariate to adjust group means.","It includes a continuous covariate to adjust the means and reduce error variance.","Includes continuous covariate."",""Adjusts group means.","anova","graduate"
"When do I use a Chi-Square Goodness of Fit test?","To determine whether an observed frequency distribution matches an expected theoretical distribution.","When comparing an observed categorical distribution to an expected one.","Compares distributions."",""Observed vs expected theoretical.","non_parametric","undergraduate"
"What is Yates's correction?","An adjustment made to the Chi-Square test for a 2x2 table to prevent overestimating significance.","An adjustment for 2x2 Chi-Square tests to prevent inflated significance.","Adjustment for Chi-Square."",""Applies to 2x2 tables."",""Prevents overestimation.","non_parametric","graduate"
"What is McNemar's test?","A test applied to a 2x2 contingency table with paired nominal data to determine marginal homogeneity.","A test for paired nominal data in a 2x2 table.","Applies to 2x2 table."",""Data must be paired nominal.","non_parametric","graduate"
"What is a two-way ANOVA?","Examines the influence of two different categorical independent variables on one continuous dependent variable.","It tests the effect of two categorical variables on one continuous variable.","Two categorical independent variables."",""One continuous dependent variable.","anova","undergraduate"
"What is an interaction effect in ANOVA?","Occurs when the effect of one independent variable changes depending on the level of another.","When the impact of one variable depends on the level of another variable.","Effect of one variable changes."",""Depends on level of another variable.","anova","undergraduate"
"What does the slope coefficient in simple linear regression mean?","The expected change in the dependent variable for a one-unit increase in the independent variable.","The change in Y for a one-unit increase in X.","Expected change in dependent variable."",""For one-unit increase in independent variable.","regression","undergraduate"
"What is homoscedasticity?","The assumption that the variance of the residuals is constant across all levels of independent variables.","The variance of the residuals remains constant.","Variance of residuals."",""Remains constant.","regression","undergraduate"
"Why is extrapolating in regression dangerous?","The linear relationship may not hold outside the observed range of training data.","The modeled relationship might not exist outside the observed data range.","Relationship may not hold."",""Outside observed range.","regression","undergraduate"
"What is Adjusted R-squared?","A metric that penalizes the addition of non-useful predictors to a regression model.","R-squared modified to penalize adding useless variables.","Modifies R-squared."",""Penalizes non-useful predictors.","regression","undergraduate"
"How do you interpret the intercept in linear regression?","The expected value of the dependent variable when all independent variables are exactly zero.","The expected value of Y when all Xs are zero.","Expected value of dependent variable."",""When independent variables equal zero.","regression","undergraduate"
"What is omitted variable bias?","Bias created when leaving out a relevant variable that correlates with included predictors.","Bias caused by excluding a variable correlated with the model's predictors.","Relevant variable left out."",""Correlates with included predictors."",""Causes biased coefficients.","regression","graduate"
"What are residuals?","The difference between the observed values and the values predicted by the model.","The difference between actual and predicted values.","Difference."",""Observed values vs predicted values.","regression","undergraduate"
"How can I check for residual normality?","Using visual tools like a Q-Q plot or formal tests like Shapiro-Wilk.","Use a Q-Q plot or the Shapiro-Wilk test.","Visual tools like Q-Q plot."",""Formal tests like Shapiro-Wilk.","regression","undergraduate"
"What are robust standard errors?","Estimators used to obtain unbiased standard errors under heteroscedasticity.","A method to correct standard errors when homoscedasticity is violated.","Obtains unbiased standard errors."",""Used when heteroscedasticity is present.","regression","graduate"
"What is ordinary least squares (OLS)?","A method of estimating the best fit line by minimizing the sum of squared residuals.","Finding the line of best fit by minimizing the sum of squared errors.","Estimates best fit line."",""Minimizes sum of squared residuals.","regression","undergraduate"
"What does logistic regression output?","The log-odds of the probability that the target belongs to the positive class.","The log-odds of the positive class probability.","Outputs log-odds."",""Refers to probability of positive class.","classification","undergraduate"
"Interpret an odds ratio of 1.5 in logistic regression.","A one-unit increase in the predictor increases the odds of the outcome by 50%.","The odds of the outcome increase by 50% for every one-unit increase.","One-unit increase in predictor."",""Odds increase by 50%.","classification","graduate"
"Why not use linear regression for binary classification?","It can predict probabilities outside [0, 1] and violates residual normality.","It can predict impossible probabilities outside 0 and 1.","Predicts outside 0 and 1 range."",""Violates residual normality.","classification","undergraduate"
"What is the sigmoid function?","A function that maps any real-valued number into a value between 0 and 1.","It maps real numbers to a probability between 0 and 1.","Maps real numbers."",""Outputs between 0 and 1.","classification","undergraduate"
"How do you assess logistic regression goodness-of-fit?","Using the Hosmer-Lemeshow test or pseudo R-squared metrics.","With the Hosmer-Lemeshow test or pseudo R-squared.","Hosmer-Lemeshow test."",""Pseudo R-squared metrics.","classification","graduate"
"What is a confusion matrix?","A table displaying True Positives, True Negatives, False Positives, and False Negatives.","A table showing true and false predictions for each class.","Displays True/False Positives."",""Displays True/False Negatives.","classification","undergraduate"
"What is precision?","The ratio of true positives to total predicted positives.","The percentage of positive predictions that were actually correct.","Ratio of true positives."",""Divided by total predicted positives.","classification","undergraduate"
"Why is accuracy misleading for imbalanced data?","A model can just predict the majority class and score high accuracy while missing the minority class.","It ignores performance on the minority class.","Can predict majority class only."",""Scores high while missing minority class.","classification","undergraduate"
"What is the F1-score?","The harmonic mean of precision and recall.","The harmonic mean of precision and recall.","Harmonic mean."",""Includes precision and recall.","classification","undergraduate"
"What does an ROC curve plot?","The True Positive Rate against the False Positive Rate at various thresholds.","True Positive Rate vs False Positive Rate.","Plots True Positive Rate."",""Plots False Positive Rate.","classification","undergraduate"
"When to use the Wilcoxon Signed-Rank Test?","When comparing two related samples and differences are not normally distributed.","For paired data that violates normality assumptions.","Compares related samples."",""Differences not normally distributed.","non_parametric","undergraduate"
"What does non-parametric mean?","Tests that do not assume data is drawn from a parameterized probability distribution like normal.","Tests that don't assume a specific underlying distribution.","Does not assume specific distribution."",""No assumption of normality.","non_parametric","undergraduate"
"Non-parametric equivalent of one-way ANOVA?","The Kruskal-Wallis H test.","The Kruskal-Wallis test.","Kruskal-Wallis test.","non_parametric","undergraduate"
"What is the Mann-Whitney U test?","Non-parametric test to compare differences between two independent groups.","A non-parametric test for two independent groups.","Non-parametric test."",""Compares two independent groups.","non_parametric","undergraduate"
"What does Spearman's correlation measure?","The strength and direction of monotonic association between ranked variables.","The monotonic relationship between ranked variables.","Measures monotonic association."",""Applies to ranked variables.","non_parametric","undergraduate"
"Is median appropriate for ordinal data?","Yes, because it relies on ranking rather than interval values.","Yes, because ordinal data can be ranked.","Yes."",""Relies on ranking.","descriptive_statistics","undergraduate"
"Does a non-parametric test have more power than a parametric one?","No, if assumptions are met, parametric tests have more statistical power.","No, parametric tests are more powerful if assumptions are met.","No."",""Parametric tests have more power if assumptions met.","non_parametric","graduate"
"What is bootstrapping?","Repeatedly drawing samples with replacement to estimate parameters and confidence intervals.","Resampling data with replacement to estimate parameters.","Drawing samples with replacement."",""Estimates parameters/confidence intervals.","non_parametric","graduate"
"How does a permutation test work?","Randomly shuffling data labels to build a null distribution of the test statistic.","Shuffling labels to create a null distribution.","Randomly shuffles labels."",""Builds null distribution.","non_parametric","graduate"
"When to use Kendall's Tau?","When the dataset is small and has a large number of tied ranks.","For small datasets with many tied ranks.","Dataset is small."",""Large number of tied ranks.","non_parametric","graduate"
"What is a stationary time series?","A series whose statistical properties like mean and variance are constant over time.","A series with constant mean and variance over time.","Mean and variance constant."",""Over time.","time_series","undergraduate"
"How to make time series stationary?","By differencing the data or applying a log transformation.","Differencing or log transforming the data.","Differencing the data."",""Log transformation.","time_series","undergraduate"
"What does the 'I' in ARIMA mean?","Integrated, representing the number of differences needed for stationarity.","Integrated, the number of differencing steps needed.","Stands for Integrated."",""Number of differences needed.","time_series","graduate"
"What is seasonality?","Predictable and recurring patterns that happen at regular intervals over time.","Recurring patterns at regular intervals.","Predictable recurring patterns."",""Regular intervals.","time_series","undergraduate"
"Purpose of an ACF plot?","To measure correlation between a series and its lags to identify Moving Average parameters.","To identify correlation with past lags for MA models.","Measures correlation with lags."",""Identifies MA parameters.","time_series","graduate"
"How does Exponential Smoothing work?","Forecasts based on a weighted average where weights decay exponentially for older observations.","Averages past data, giving exponentially less weight to older data.","Weighted average."",""Weights decay exponentially for older data.","time_series","graduate"
"What is white noise?","A random sequence with zero mean, constant variance, and no autocorrelation.","Random data with zero mean and no autocorrelation.","Zero mean."",""Constant variance."",""No autocorrelation.","time_series","undergraduate"
"What is the Dickey-Fuller test?","A test to check if a time series has a unit root, indicating non-stationarity.","A statistical test for stationarity.","Checks for unit root."",""Indicates non-stationarity.","time_series","graduate"
"When to use SARIMA?","When the time series exhibits clear seasonal patterns.","When the data has seasonality.","Time series exhibits seasonal patterns.","time_series","graduate"
"What is a moving average?","Creates a series of averages of overlapping subsets to smooth out short-term fluctuations.","Averaging subsets of data to smooth out noise.","Averages of subsets."",""Smooths out short-term fluctuations.","time_series","undergraduate"
"What is the hazard function?","The instantaneous rate of occurrence of an event at a specific time.","The instantaneous rate of an event occurring at a specific time.","Instantaneous rate."",""At a specific time.","survival_analysis","graduate"
"What is right-censoring?","When the study ends before the event occurs for an individual.","When an individual's event time is unknown because the study ended.","Study ends."",""Before event occurs.","survival_analysis","graduate"
"What is the Kaplan-Meier estimator?","A non-parametric statistic used to estimate the survival function from lifetime data.","A non-parametric way to estimate the survival function.","Non-parametric statistic."",""Estimates survival function.","survival_analysis","graduate"
"How does the Cox Proportional Hazards model work?","Relates risk factors to survival time assuming the hazard ratio is constant over time.","A model assuming hazard ratios between groups remain constant over time.","Relates risk factors to survival."",""Assumes hazard ratio is constant.","survival_analysis","graduate"
"What is a Markov Chain?","A sequence where the probability of an event depends only on the immediately previous state.","A sequence where the next state depends only on the current state.","Probability of event."",""Depends only on previous state.","markov_models","graduate"
"What is a credible interval?","A Bayesian interval within which an unobserved parameter falls with a subjective probability.","The Bayesian equivalent of a confidence interval.","Bayesian interval."",""Parameter falls within with subjective probability.","bayesian","graduate"
"What is MCMC?","Markov Chain Monte Carlo, used to sample from complex posterior distributions.","Algorithms to sample from complex Bayesian posterior distributions.","Markov Chain Monte Carlo."",""Samples from posterior distributions.","bayesian","graduate"
"What are conjugate priors?","A prior that results in a posterior distribution from the same probability family.","A prior that yields a posterior in the same distribution family.","Prior distribution."",""Results in posterior of same family.","bayesian","graduate"
"What is the Log-Rank test?","A hypothesis test to compare the survival distributions of independent groups.","A test comparing survival distributions of two or more groups.","Hypothesis test."",""Compares survival distributions.","survival_analysis","graduate"
"What happens to the posterior as sample size goes to infinity?","It becomes completely dominated by the likelihood (data), and the prior's influence shrinks to zero.","The data dominates and the prior's influence vanishes.","Dominated by likelihood/data."",""Prior influence shrinks to zero.","bayesian","graduate"
"What is the curse of dimensionality?","As dimensions increase, data space volume increases exponentially, making data sparse.","High-dimensional data becomes so sparse that distance algorithms fail.","Dimensions increase."",""Data space increases exponentially/becomes sparse.","machine_learning","graduate"
"How does PCA reduce dimensionality?","Orthogonally transforms variables into a new set of uncorrelated principal components.","It transforms correlated variables into uncorrelated principal components.","Orthogonal transformation."",""Creates uncorrelated principal components.","machine_learning","graduate"
"K-Means vs Hierarchical clustering?","K-Means requires specifying the number of clusters upfront; Hierarchical builds a tree structure.","K-Means needs a set cluster count; Hierarchical does not.","K-Means requires specified cluster number."",""Hierarchical builds tree structure.","machine_learning","undergraduate"
"What is cross-validation?","Evaluating models on rotating subsets of training data to ensure generalization.","Testing a model on rotating data subsets to check generalization.","Evaluates models."",""Uses rotating subsets of data.","machine_learning","undergraduate"
"What is data leakage?","Accidentally using outside information to train a model, leading to invalid performance estimates.","Using test data during training, causing false optimism.","Using outside information for training."",""Leads to invalid performance.","machine_learning","graduate"
"Gradient Boosting vs Random Forest?","Random Forest builds trees in parallel; Gradient Boosting builds them sequentially to correct previous errors.","Random Forest is parallel; Gradient Boosting is sequential.","Random Forest builds in parallel."",""Gradient Boosting builds sequentially to correct errors.","machine_learning","graduate"
"What is regularization?","Adding a penalty term to a model's loss function to discourage complexity and prevent overfitting.","Penalizing model complexity to prevent overfitting.","Adds penalty term to loss function."",""Prevents overfitting.","machine_learning","undergraduate"
"Why standardize data before PCA?","PCA is sensitive to variance scale; unstandardized large-scale variables will incorrectly dominate.","Because variables with larger scales will dominate the components.","PCA is sensitive to scale."",""Unstandardized large variables dominate.","machine_learning","undergraduate"
"What does an activation function do?","Introduces non-linear properties to a neural network, allowing it to learn complex patterns.","It allows the network to learn non-linear patterns.","Introduces non-linear properties."",""Allows learning complex patterns.","machine_learning","graduate"
"What if the learning rate is too high?","The optimization algorithm may overshoot the global minimum and fail to converge.","The algorithm might overshoot the minimum and fail to converge.","Overshoots global minimum."",""Fails to converge.","machine_learning","undergraduate"
